(2704, 70.4609)
(3136, 81.4161)
(3600, 93.5187)
(4096, 106.29)
(4624, 119.874)
(5184, 134.264)
(5776, 149.605)
(6400, 165.751)
(7056, 182.722)
(7744, 200.445)
(8464, 219.059)
(9216, 238.737)
(10000, 258.869)
(10816, 279.983)
(11664, 305.458)
(12544, 324.644)
(13456, 348.357)
(14400, 372.377)
(15376, 398.045)
(16384, 424.189)

(2704, 70.0654)
(3136, 81.2309)
(3600, 93.1838)
(4096, 106.044)
(4624, 119.732)
(5184, 134.104)
(5776, 149.496)
(6400, 165.567)
(7056, 182.694)
(7744, 200.217)
(8464, 228.124)
(9216, 238.441)
(10000, 258.616)
(10816, 286.921)
(11664, 301.731)
(12544, 324.462)
(13456, 348.49)
(14400, 372.53)
(15376, 397.708)
(16384, 424.008)

(2704, 11.3361)
(3136, 13.1033)
(3600, 15.0598)
(4096, 17.0666)
(4624, 19.4444)
(5184, 21.4998)
(5776, 23.9036)
(6400, 27.7097)
(7056, 30.4936)
(7744, 32.4738)
(8464, 43.7164)
(9216, 39.1545)
(10000, 44.0741)
(10816, 44.6466)
(11664, 48.2589)
(12544, 51.6966)
(13456, 55.3882)
(14400, 59.2189)
(15376, 63.1214)
(16384, 67.34)
